workout_id,workout_name,start_time,end_time,duration_mins,nth_workout,estimated_volume_kg,exercise_count,exercises_performed
Workout_205,Legs,2025-11-15 09:51:04,2025-11-15 11:09:06,78.03333333333333,205,8118.4,9,"Warm Up, Incline Bench Press (Dumbbell), Chest Fly (Machine), Bench Press (Dumbbell), Cable Fly Crossovers, Single Arm Tricep Extension (Dumbbell), Overhead Triceps Extension (Cable), Triceps Rope Pushdown, Treadmill"
Workout_206,Shoulder,2025-11-16 03:31:14,2025-11-16 04:49:49,78.58333333333333,206,8432.2,9,"Warm Up, Seated Shoulder Press (Machine), Rear Delt Reverse Fly (Machine), Overhead Press (Dumbbell), Front Raise (Dumbbell), Single Arm Lateral Raise (Cable), Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_207,Back,2025-11-17 03:20:57,2025-11-17 04:53:56,92.98333333333332,207,7005.0,10,"Warm Up, Bent Over Row (Dumbbell), Seated Cable Row - V Grip (Cable), Lat Pulldown (Cable), Back Extension (Hyperextension), Bicep Curl (Dumbbell), Hammer Curl (Dumbbell), Preacher Curl (Dumbbell), Treadmill, Elliptical Trainer"
Workout_208,Legs,2025-11-19 01:15:41,2025-11-19 02:15:42,60.016666666666666,208,5120.0,6,"Warm Up, Squat (Bodyweight), Goblet Squat, Leg Extension (Machine), Sumo Squat (Dumbbell), Seated Calf Raise"
Workout_209,Chest,2025-11-22 02:15:38,2025-11-22 03:45:38,90.0,209,9665.5,10,"Warm Up, Bench Press (Dumbbell), Chest Fly (Machine), Incline Bench Press (Barbell), Chest Press (Machine), Overhead Triceps Extension (Cable), Triceps Extension (Dumbbell), Bench Dip, Treadmill, Elliptical Trainer"
Workout_210,Shoulders,2025-11-23 02:39:49,2025-11-23 03:45:45,65.93333333333334,210,7884.0,7,"Warm Up, Lateral Raise (Dumbbell), Front Raise (Cable), Shoulder Press (Dumbbell), Rear Delt Reverse Fly (Machine), Shrug (Dumbbell), Treadmill"
Workout_211,Back,2025-11-24 02:30:07,2025-11-24 04:05:58,95.85,211,8182.0,10,"Warm Up, Lat Pulldown (Cable), Seated Cable Row - V Grip (Cable), Bent Over Row (Dumbbell), Back Extension (Hyperextension), Bicep Curl (Dumbbell), Bicep Curl (Barbell), Hammer Curl (Dumbbell), Treadmill, Elliptical Trainer"
Workout_212,Legs,2025-11-25 02:33:48,2025-11-25 03:41:27,67.65,212,8970.0,7,"Warm Up, Spinning, Leg Extension (Machine), Squat (Barbell), Leg Press (Machine), Sumo Squat (Dumbbell), Seated Calf Raise"
Workout_213,Chest,2025-11-26 02:26:07,2025-11-26 03:32:45,66.63333333333334,213,7710.0,7,"Warm Up, Incline Bench Press (Dumbbell), Chest Fly (Machine), Bench Press (Barbell), Single Arm Tricep Extension (Dumbbell), Triceps Rope Pushdown, Treadmill"
Workout_214,Back,2025-11-29 02:39:51,2025-11-29 04:04:48,84.95,214,8890.0,9,"Warm Up, Pull Up (Assisted), Bent Over Row (Barbell), Lat Pulldown (Cable), Dumbbell Row, Bicep Curl (Barbell), Hammer Curl (Dumbbell), Bicep Curl (Cable), Treadmill"
Workout_215,Shoulder,2025-11-30 02:56:07,2025-11-30 04:04:41,68.56666666666666,215,6560.0,8,"Warm Up, Seated Shoulder Press (Machine), Lateral Raise (Dumbbell), Front Raise (Dumbbell), Face Pull, Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_216,Legs,2025-12-01 02:38:55,2025-12-01 03:35:35,56.666666666666664,216,9577.0,6,"Warm Up, Spinning, Leg Extension (Machine), Seated Leg Curl (Machine), Leg Press (Machine), Seated Calf Raise"
Workout_217,Chest,2025-12-03 02:10:06,2025-12-03 03:29:29,79.38333333333334,217,8562.0,9,"Warm Up, Chest Press (Machine), Chest Fly (Machine), Incline Bench Press (Dumbbell), Single Arm Tricep Extension (Dumbbell), Triceps Rope Pushdown, Triceps Extension (Dumbbell), Treadmill, Elliptical Trainer"
Workout_218,Back,2025-12-06 02:21:28,2025-12-06 03:37:08,75.66666666666667,218,7374.0,9,"Warm Up, Lat Pulldown - Close Grip (Cable), Seated Cable Row - V Grip (Cable), Lat Pulldown (Cable), Back Extension (Hyperextension), Bicep Curl (Barbell), Hammer Curl (Dumbbell), Single Arm Curl (Cable), Treadmill"
Workout_219,Shoulder,2025-12-07 03:15:01,2025-12-07 04:27:00,71.98333333333333,219,8201.0,8,"Warm Up, Lateral Raise (Dumbbell), Front Raise (Barbell), Rear Delt Reverse Fly (Machine), Seated Shoulder Press (Machine), Shrug (Dumbbell), Treadmill, Elliptical Trainer"
